    file problem time exit-status
369 153752__300__3_3_4__58.apx EE-GR 124 0
370 153752__300__3_3_4__58.apx SE-GR 124 0
371 153752__300__3_3_4__58.apx EE-CO 114379 0
372 153752__300__3_3_4__58.apx SE-CO 126 0
373 153752__300__3_3_4__58.apx EE-ST 72065 0
374 153752__300__3_3_4__58.apx SE-ST 34598 0
375 153752__300__3_3_4__58.apx EE-PR 114328 0
376 153752__300__3_3_4__58.apx SE-PR 113974 0
377 153904__300__12_13_36__72.apx EE-GR 114 0
378 153904__300__12_13_36__72.apx SE-GR 114 0
379 153904__300__12_13_36__72.apx EE-CO 241 0
380 153904__300__12_13_36__72.apx SE-CO 114 0
381 153904__300__12_13_36__72.apx EE-ST 188 0
382 153904__300__12_13_36__72.apx SE-ST 151 0
383 153904__300__12_13_36__72.apx EE-PR 243 0
384 153904__300__12_13_36__72.apx SE-PR 239 0
385 156312__300__10_11_63__84.apx EE-GR 102 0
386 156312__300__10_11_63__84.apx SE-GR 102 0
387 156312__300__10_11_63__84.apx EE-CO 115 0
388 156312__300__10_11_63__84.apx SE-CO 102 0
389 156312__300__10_11_63__84.apx EE-ST 107 0
390 156312__300__10_11_63__84.apx SE-ST 103 0
391 156312__300__10_11_63__84.apx EE-PR 115 0
392 156312__300__10_11_63__84.apx SE-PR 113 0
393 158223__300__15_15_29__19.apx EE-GR 120 0
394 158223__300__15_15_29__19.apx SE-GR 120 0
395 158223__300__15_15_29__19.apx EE-CO 326 0
396 158223__300__15_15_29__19.apx SE-CO 121 0
397 158223__300__15_15_29__19.apx EE-ST 293 0
398 158223__300__15_15_29__19.apx SE-ST 172 0
399 158223__300__15_15_29__19.apx EE-PR 321 0
400 158223__300__15_15_29__19.apx SE-PR 320 0
401 158386__300__12_14_63__76.apx EE-GR 102 0
402 158386__300__12_14_63__76.apx SE-GR 102 0
403 158386__300__12_14_63__76.apx EE-CO 120 0
404 158386__300__12_14_63__76.apx SE-CO 103 0
405 158386__300__12_14_63__76.apx EE-ST 110 0
406 158386__300__12_14_63__76.apx SE-ST 104 0
407 158386__300__12_14_63__76.apx EE-PR 119 0
408 158386__300__12_14_63__76.apx SE-PR 118 0
409 159357__400__7_14_44__41.apx EE-GR 103 0
410 159357__400__7_14_44__41.apx SE-GR 104 0
411 159357__400__7_14_44__41.apx EE-CO 231 0
412 159357__400__7_14_44__41.apx SE-CO 105 0
413 159357__400__7_14_44__41.apx EE-ST 147 0
414 159357__400__7_14_44__41.apx SE-ST 130 0
415 159357__400__7_14_44__41.apx EE-PR 229 0
416 159357__400__7_14_44__41.apx SE-PR 228 0
417 159643__300__15_15_21__14.apx EE-GR 116 0
418 159643__300__15_15_21__14.apx SE-GR 116 0
419 159643__300__15_15_21__14.apx EE-CO 25016 0
420 159643__300__15_15_21__14.apx SE-CO 118 0
421 159643__300__15_15_21__14.apx EE-ST 14267 0
422 159643__300__15_15_21__14.apx SE-ST 4393 0
423 159643__300__15_15_21__14.apx EE-PR 24980 0
424 159643__300__15_15_21__14.apx SE-PR 25008 0
425 159944__300__4_6_9__72.apx EE-GR 108 0
426 159944__300__4_6_9__72.apx SE-GR 108 0
427 159944__300__4_6_9__72.apx EE-CO 120003 124
428 159944__300__4_6_9__72.apx SE-CO 110 0
429 159944__300__4_6_9__72.apx EE-ST 68122 0
430 159944__300__4_6_9__72.apx SE-ST 40783 0
431 159944__300__4_6_9__72.apx EE-PR 120002 124
432 159944__300__4_6_9__72.apx SE-PR 120003 124
433 159956__300__8_9_19__10.apx EE-GR 132 0
434 159956__300__8_9_19__10.apx SE-GR 133 0
435 159956__300__8_9_19__10.apx EE-CO 215 0
436 159956__300__8_9_19__10.apx SE-CO 133 0
437 159956__300__8_9_19__10.apx EE-ST 203 0
438 159956__300__8_9_19__10.apx SE-ST 139 0
439 159956__300__8_9_19__10.apx EE-PR 215 0
440 159956__300__8_9_19__10.apx SE-PR 216 0
441 160116__400__8_10_33__99.apx EE-GR 105 0
442 160116__400__8_10_33__99.apx SE-GR 103 0
443 160116__400__8_10_33__99.apx EE-CO 9025 0
444 160116__400__8_10_33__99.apx SE-CO 105 0
445 160116__400__8_10_33__99.apx EE-ST 2007 0
446 160116__400__8_10_33__99.apx SE-ST 492 0
447 160116__400__8_10_33__99.apx EE-PR 9022 0
448 160116__400__8_10_33__99.apx SE-PR 9028 0
449 162036__300__11_11_30__49.apx EE-GR 118 0
450 162036__300__11_11_30__49.apx SE-GR 119 0
451 162036__300__11_11_30__49.apx EE-CO 136 0
452 162036__300__11_11_30__49.apx SE-CO 119 0
453 162036__300__11_11_30__49.apx EE-ST 134 0
454 162036__300__11_11_30__49.apx SE-ST 132 0
455 162036__300__11_11_30__49.apx EE-PR 136 0
456 162036__300__11_11_30__49.apx SE-PR 136 0
457 162515__300__7_10_66__85.apx EE-GR 102 0
458 162515__300__7_10_66__85.apx SE-GR 102 0
459 162515__300__7_10_66__85.apx EE-CO 113 0
460 162515__300__7_10_66__85.apx SE-CO 102 0
461 162515__300__7_10_66__85.apx EE-ST 106 0
462 162515__300__7_10_66__85.apx SE-ST 103 0
463 162515__300__7_10_66__85.apx EE-PR 113 0
464 162515__300__7_10_66__85.apx SE-PR 111 0
465 164313__300__9_11_64__85.apx EE-GR 101 0
466 164313__300__9_11_64__85.apx SE-GR 102 0
467 164313__300__9_11_64__85.apx EE-CO 114 0
468 164313__300__9_11_64__85.apx SE-CO 103 0
469 164313__300__9_11_64__85.apx EE-ST 107 0
